Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,1000pF,C_0402_1005Metric,7.63,14.5,180,top
C2,5.6pF,C_0402_1005Metric,24.68,6.37,-90,top
C3,12pF,C_0402_1005Metric,29.23,6.37,-90,top
C4,3.6pF,C_0402_1005Metric,31.46,10.05,0,top
C5,1000pF,C_0402_1005Metric,39.88,20.3,0,top
C6,0.1uF,C_0402_1005Metric,36.65,21.62,-90,top
C7,0.1uF,C_0402_1005Metric,30.25,21.62,-90,top
C8,1000pF,C_0402_1005Metric,60.65,23.02,-90,top
C9,0.1uF,C_0402_1005Metric,62.1,23.02,-90,top
C10,10uF,C_1210_3225Metric,72.1,25.825,90,top
C11,6.8pF,C_0603_1608Metric,58.925,14.2,180,top
C12,100pF,C_0603_1608Metric,67.4,2.975,-90,top
C13,6.8pF,C_0603_1608Metric,76.8,14.5,180,top
C14,10uF,C_1210_3225Metric,64.475,19.15,0,top
C15,0.1uF,C_0402_1005Metric,12.07,34.9,0,top
C16,1000pF,C_0402_1005Metric,16.83,41.6,180,top
C17,0.1uF,C_0402_1005Metric,20.82,31.82,-90,top
C18,100pF,C_0603_1608Metric,22.45,37.125,90,top
C19,0.022uF,C_0402_1005Metric,21.02,36.58,90,top
C20,0.1uF,C_0402_1005Metric,30.5,37.15,180,top
C21,4.7uF,C_0805_2012Metric,34.07,34.05,90,top
C22,1uF,C_0805_2012Metric,31.42,34.5,90,top
C23,22uF,C_1210_3225Metric,27,38.025,-90,top
C24,1000pF,C_0402_1005Metric,28.14,29.9,180,top
C25,22uF,C_1210_3225Metric,30,42.875,90,top
C26,22uF,C_1210_3225Metric,41.67,30.475,-90,top
C27,22uF,C_1210_3225Metric,45.47,30.475,-90,top
C28,22uF,C_1210_3225Metric,47.37,37.375,90,top
C29,22uF,C_1210_3225Metric,49.32,30.475,-90,top
C30,0.1uF,C_0402_1005Metric,18.2,21.43,90,top
C31,1000pF,C_0402_1005Metric,31.65,21.62,-90,top
C32,22uF,C_1210_3225Metric,50.97,37.375,90,top
C33,0.1uF,C_0402_1005Metric,68.555,36.35,0,top
C34,22uF,C_1210_3225Metric,58.475,34.475,90,top
C35,22uF,C_1210_3225Metric,62.025,34.475,90,top
C36,10uF,C_1210_3225Metric,62.925,39.475,90,top
